Concept ID,Concept Name,Industry,Problem Area,Target User,Segment,Delivery Complexity (1-10),Strategic Fit (1-10),Feedback Score (1-10),Objections Count,Decision Maker Present,Follow-Up Requested,Trial Sessions,Feature Clicks,Repeat Usage Days,Active Users,Time Spent (min),Abandoned Features,Pilot Interest (1-10),Urgency Score (1-10),Budget Signal (1-10),Willingness To Pay (%),Expected Value ($),Implementation Risk (1-10),Engagement Score (%),Demand Intensity (%),Revenue Potential (%),Feasibility Score (%),Strategic Alignment (%),Repeatability Score (%),Confidence Indicator (%),Commercial Outcome
CPT-1000,Personalization Assistant 0,FinTech,Process Optimization,Small Business Owner,Mid-Market,5,4.0,6.9,0.0,1.0,0,14,68,11,45,224.5,2,6,6,8.0,80.00%,70606.0,8,60.00%,39.00%,69.00%,39.00%,60.00%,56.00%,90.00%,Reusable Asset
CPT-1001,Process Optimization Assistant 1,Manufacturing,Predictive Analytics,Frontline Agent,Enterprise,4,3.0,2.1,3.0,0.0,1,2,12,1,4,21.8,8,1,4,4.0,0.00%,22667.0,9,8.00%,40.00%,15.00%,44.00%,13.00%,4.00%,43.00%,Archive
CPT-1002,Knowledge Search Assistant 2,Consumer Apps,Document Intelligence,Data Analyst,SMB,8,9.0,6.95,1.0,0.0,1,20,76,29,50,229.9,1,10,8,7.0,52.00%,65115.0,4,78.00%,93.00%,56.00%,27.00%,53.00%,90.00%,89.00%,MVP Build
CPT-1003,Document Intelligence Assistant 3,Retail,Customer Support,Frontline Agent,Enterprise,5,8.0,5.5,1.0,1.0,1,8,29,1,23,203.8,4,7,5,5.0,26.00%,56179.0,3,41.00%,70.00%,40.00%,61.00%,87.00%,20.00%,74.00%,Incubate
CPT-1004,Workflow Automation Assistant 4,Logistics,Knowledge Search,IT Admin,SMB,7,4.0,2.4,2.0,0.0,0,8,41,10,3,189.7,5,3,5,4.0,3.00%,26252.0,7,35.00%,22.00%,17.00%,23.00%,20.00%,18.00%,64.00%,Archive
CPT-1005,Workflow Automation Assistant 5,Cybersecurity,Personalization,Compliance Officer,SMB,7,3.0,4.8,3.0,0.0,0,21,242,13,3,165.1,4,4,5,4.0,61.00%,13508.0,7,46.00%,27.00%,29.00%,23.00%,13.00%,23.00%,63.00%,Archive
CPT-1006,Document Intelligence Assistant 6,Legal Tech,Workflow Automation,Ops Manager,SMB,4,3.0,1.8,7.0,0.0,1,5,27,0,1,89.5,5,2,3,2.0,52.00%,8169.0,7,13.00%,41.00%,19.00%,53.00%,13.00%,0.00%,36.00%,Archive
CPT-1007,Knowledge Search Assistant 7,Consumer Apps,Personalization,Executive Sponsor,SMB,6,9.0,9.8,1.0,0.0,1,35,112,30,53,277.5,0,9,7,5.0,73.00%,21134.0,6,97.00%,86.00%,38.00%,38.00%,53.00%,94.00%,94.00%,MVP Build
CPT-1008,Compliance Monitoring Assistant 8,Healthcare,Forecasting,Frontline Agent,Mid-Market,3,4.0,4.1,6.0,1.0,1,12,45,2,1,141.0,10,2,6,6.0,63.00%,30098.0,8,30.00%,51.00%,41.00%,59.00%,60.00%,3.00%,17.00%,Archive
CPT-1009,Fraud Detection Assistant 9,Healthcare,Workflow Automation,Frontline Agent,Startup,6,6.0,9.0,0.0,0.0,0,34,162,17,56,221.6,4,9,6,4.0,63.00%,115798.18,4,75.00%,52.00%,76.00%,47.00%,33.00%,75.00%,80.00%,Incubate
CPT-1010,Personalization Assistant 10,Manufacturing,Customer Support,Executive Sponsor,SMB,7,5.0,2.4,3.0,0.0,0,11,72,16,3,92.4,5,2,3,3.0,31.00%,36654.0,7,31.00%,11.00%,28.00%,23.00%,27.00%,28.00%,58.00%,Archive
CPT-1011,Forecasting Assistant 11,Legal Tech,Personalization,Compliance Officer,SMB,5,4.0,2.0,3.0,1.0,0,3,11,12,1,56.8,7,2,3,2.0,18.00%,4772.49,8,22.00%,11.00%,8.00%,39.00%,60.00%,20.00%,48.00%,Archive
CPT-1012,Personalization Assistant 12,Retail,Compliance Monitoring,Small Business Owner,Mid-Market,7,7.0,6.7,2.0,0.0,1,18,73,14,34,123.4,7,7,8,9.0,40.00%,32520.0,6,52.00%,80.00%,42.00%,28.00%,40.00%,51.00%,54.00%,Incubate
CPT-1013,Predictive Analytics Assistant 13,EdTech,Document Intelligence,IT Admin,Enterprise,4,7.0,7.7,0.0,1.0,1,15,169,22,51,164.6,5,7,6,7.0,41.00%,51041.0,1,68.00%,73.00%,46.00%,80.00%,80.00%,79.00%,75.00%,Customer Pilot
CPT-1014,Workflow Automation Assistant 14,Retail,Workflow Automation,Product Manager,SMB,7,6.0,4.4,3.0,1.0,0,17,112,10,20,87.7,9,3,5,5.0,58.00%,11794.0,7,34.00%,22.00%,29.00%,23.00%,73.00%,33.00%,38.00%,Archive
CPT-1015,Fraud Detection Assistant 15,EdTech,Process Optimization,Compliance Officer,Mid-Market,4,5.0,7.5,0.0,1.0,1,17,61,29,45,101.0,1,7,4,6.0,53.00%,17744.0,3,68.00%,67.00%,33.00%,71.00%,67.00%,86.00%,95.00%,Customer Pilot
CPT-1016,Workflow Automation Assistant 16,Legal Tech,Predictive Analytics,Product Manager,Enterprise,4,6.0,5.5,2.0,1.0,0,18,131,13,31,113.1,2,6,5,6.0,55.00%,41605.0,5,44.00%,36.00%,44.00%,62.00%,73.00%,47.00%,79.00%,Incubate
CPT-1017,Compliance Monitoring Assistant 17,EdTech,Personalization,IT Admin,Startup,8,6.0,5.1,2.0,0.0,1,15,116,10,26,182.5,2,4,7,5.0,78.00%,26906.0,8,46.00%,63.00%,42.00%,9.00%,33.00%,38.00%,79.00%,Incubate
CPT-1018,Workflow Automation Assistant 18,Legal Tech,Fraud Detection,Product Manager,Startup,6,6.0,6.0,1.0,0.0,0,26,288,19,46,206.1,3,5,7,5.0,52.00%,43915.0,4,62.00%,38.00%,42.00%,47.00%,33.00%,70.00%,79.00%,Reusable Asset
CPT-1019,Customer Support Assistant 19,Healthcare,Forecasting,Product Manager,Startup,4,1.0,1.3,5.0,0.0,0,10,100,0,7,30.7,3,2,2,1.0,36.00%,4772.49,9,4.00%,8.00%,11.00%,44.00%,0.00%,5.00%,57.00%,Archive
CPT-1020,Knowledge Search Assistant 20,Retail,Document Intelligence,Ops Manager,Mid-Market,6,8.0,8.6,2.0,1.0,1,17,120,7,39,234.7,1,9,7,6.0,63.00%,115798.18,2,64.00%,86.00%,80.00%,56.00%,87.00%,44.00%,84.00%,MVP Build
CPT-1021,Compliance Monitoring Assistant 21,HR Tech,Personalization,IT Admin,Startup,6,5.0,7.4,1.0,0.0,1,22,168,29,41,161.2,4,7,6,9.0,100.00%,59614.0,7,74.00%,73.00%,72.00%,33.00%,27.00%,82.00%,74.00%,Customer Pilot
CPT-1022,Predictive Analytics Assistant 22,Healthcare,Document Intelligence,Product Manager,Enterprise,5,7.0,5.0,6.0,0.0,1,18,101,9,32,155.1,1,8,5,6.0,64.00%,34012.0,3,42.00%,74.00%,43.00%,61.00%,40.00%,41.00%,62.00%,Incubate
CPT-1023,Forecasting Assistant 23,Logistics,Predictive Analytics,Ops Manager,Enterprise,6,7.0,7.6,4.0,0.0,1,28,99,16,41,142.1,0,10,7,5.0,73.00%,28075.0,4,60.00%,90.00%,41.00%,47.00%,40.00%,61.00%,78.00%,Customer Pilot
CPT-1024,Document Intelligence Assistant 24,Retail,Predictive Analytics,Executive Sponsor,Mid-Market,8,8.0,7.5,0.0,0.0,1,32,214,19,43,270.5,1,8,7,6.0,57.00%,10407.0,6,75.00%,81.00%,31.00%,18.00%,47.00%,67.00%,95.00%,Customer Pilot
